Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
abr/02;138839;127646;11193;152334;19346;117163;109019;8144;127025;15945;14663;11837;2826;16084;2650;5386;5164;222;6792;268;1627;1626;1;2433;483
mai/02;123208;113146;10062;144526;25233;102384;95090;7294;121122;20658;13009;10465;2544;14784;3666;6362;6138;224;6443;543;1453;1453;0;2177;366
jun/02;107594;99497;8097;130458;19744;89904;84018;5886;108729;16432;11045;9020;2025;14248;2419;5239;5053;186;5536;365;1406;1406;0;1945;528
jul/02;124804;115506;9298;133240;26071;104874;98342;6532;111633;20995;13128;10525;2603;14071;4022;5278;5115;163;5938;525;1524;1524;0;1598;529
ago/02;126624;117136;9488;127173;21680;107510;100906;6604;107017;17600;13133;10408;2725;12709;3193;4567;4408;159;5581;422;1414;1414;0;1866;465
set/02;129695;120106;9589;140896;26348;110446;103383;7063;118624;21640;12447;10100;2347;15133;3566;5351;5172;179;5353;648;1451;1451;0;1786;494
out/02;140380;131274;9106;157227;27406;118243;111746;6497;135135;23468;14216;11837;2379;14634;2893;6584;6354;230;5856;546;1337;1337;0;1602;499
nov/02;123296;116118;7178;148960;30213;104109;98519;5590;126985;26277;11552;10154;1398;14291;3102;6232;6072;160;6262;496;1403;1373;30;1422;338
dez/02;128155;118851;9304;122259;27023;109677;101893;7784;105095;22000;11688;10339;1349;12452;3726;5442;5300;142;4072;583;1348;1319;29;640;714
jan/03;112312;103793;8519;132208;16724;96565;89459;7106;112667;14368;10325;9055;1270;11493;1779;4586;4462;124;6266;301;836;817;19;1782;276
fev/03;118175;109428;8747;141129;22422;100511;93454;7057;119461;19126;11562;10023;1539;13002;2238;5102;4978;124;6838;660;1000;973;27;1828;398
mar/03;102723;96566;6157;127486;28600;86597;82023;4574;106398;23578;9615;8137;1478;12468;3824;5117;5022;95;6763;738;1394;1384;10;1857;460
abr/03;108731;102883;5848;130783;27921;92278;88090;4188;110405;23413;9903;8391;1512;12248;3286;5368;5228;140;6111;663;1182;1174;8;2019;559
mai/03;106865;101666;5199;141857;25278;89469;85825;3644;119575;21169;10331;8917;1414;13816;2943;5722;5588;134;6320;674;1343;1336;7;2146;492
jun/03;100276;95228;5048;124511;39066;84619;81153;3466;104690;32831;8949;7527;1422;11894;4626;5376;5219;157;5874;1139;1332;1329;3;2053;470
jul/03;113755;108285;5470;130930;31071;95956;92229;3727;110194;25832;10120;8533;1587;12522;3673;6041;5885;156;6228;1042;1638;1638;0;1986;524
ago/03;100783;95479;5304;130353;39793;85097;81316;3781;110124;33699;8917;7529;1388;11651;4477;5360;5225;135;6531;1025;1409;1409;0;2047;592
set/03;125062;118922;6140;155901;45661;107073;102546;4527;134193;39400;11024;9571;1453;12951;4304;5571;5412;159;6518;1282;1394;1393;1;2239;675
out/03;140749;134566;6183;161223;45751;120977;116547;4430;136755;38722;11996;10370;1626;14820;4899;6354;6228;126;6932;1285;1422;1421;1;2716;845
nov/03;130305;124783;5522;161528;36910;111087;107186;3901;136884;31295;12266;10790;1476;14086;3273;5573;5429;144;7916;1554;1379;1378;1;2642;788
dez/03;168868;163152;5716;146806;33631;145320;141577;3743;126924;26340;16198;14342;1856;13230;5355;5792;5675;117;5488;1322;1558;1558;0;1164;614
jan/04;107425;102632;4793;150001;32055;90624;87496;3128;128789;27617;10453;8925;1528;13591;2993;5464;5328;136;6245;1053;884;883;1;1376;392
fev/04;104785;101306;3479;148766;27303;87661;85549;2112;124786;22529;10547;9302;1245;15053;2793;5302;5180;122;7181;1483;1275;1275;0;1746;498
mar/04;141632;136238;5394;185509;46637;117504;114082;3422;156846;39424;15211;13401;1810;17303;4622;7087;6925;162;9212;2119;1830;1830;0;2148;472
abr/04;115458;110845;4613;163375;37587;93791;91033;2758;136934;30918;13084;11406;1678;15715;3867;6710;6534;176;8611;2127;1873;1872;1;2115;675
mai/04;123086;118604;4482;172380;42619;101316;98458;2858;143875;35482;13285;11846;1439;17014;4431;6728;6543;185;9116;2157;1757;1757;0;2375;549
jun/04;130697;125949;4748;179685;52558;109113;105817;3296;151136;44337;13266;11992;1274;17182;5244;6827;6649;178;8928;2180;1491;1491;0;2439;797
jul/04;133844;128311;5533;179895;54737;112474;108540;3934;150258;45557;12985;11556;1429;17711;6057;7002;6832;170;9351;2360;1383;1383;0;2575;763
ago/04;130483;124960;5523;192904;61510;108335;104345;3990;161981;52540;13636;12312;1324;19093;5941;7271;7062;209;9686;2201;1241;1241;0;2144;828
set/04;137722;132613;5109;194735;48985;114525;111173;3352;161712;40620;14791;13191;1600;21214;5390;7105;6949;156;9698;2127;1301;1300;1;2111;848
out/04;136871;131618;5253;182581;60284;113601;110484;3117;149862;50169;14800;12878;1922;21367;7139;7163;6949;214;9110;1908;1307;1307;0;2242;1068
nov/04;138803;133218;5585;193820;52378;116191;112772;3419;160529;41251;14231;12283;1948;21260;8035;6979;6761;218;9557;1857;1402;1402;0;2474;1235
dez/04;177969;170721;7248;180526;48989;150223;145672;4551;150934;39194;18012;15516;2496;20232;7094;7846;7645;201;8097;1644;1888;1888;0;1263;1057
jan/05;106643;101602;5041;155533;41047;88594;85338;3256;129739;33851;11068;9468;1600;15914;5159;6273;6090;183;8019;1439;708;706;2;1861;598
fev/05;114925;109911;5014;176760;50328;95708;92146;3562;149317;42429;12165;10949;1216;17356;5232;5875;5640;235;8116;1930;1177;1176;1;1971;737
