id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51449056,Genève: superbe appartement à champel,14239112,Mélanie Et Laurent,,Commune de Genève,46.18975,6.1576,Entire home/apt,100,90,0,,,1,239,0,
51460661,2BR Apartment close to hospital & Carouge Old Town,3528377,Marc,,Commune de Genève,46.18828,6.14482,Entire home/apt,109,1,0,,,83,301,0,
51465184,Central 1-bedroom apartment with Balcony,141661931,Vanja,,Commune de Genève,46.20084,6.13111,Entire home/apt,120,3,2,2021-09-06,0.49,1,36,2,
51467569,Nice Studio- Old town Geneva,103071235,Ramona,,Commune de Genève,46.1985,6.15011,Entire home/apt,90,7,1,2021-09-24,0.32,3,358,1,
51476482,Appartement près du Lac,48326296,Ahmer,,Commune de Genève,46.21058,6.14823,Entire home/apt,85,6,1,2021-08-21,0.23,2,365,1,
51479011,"Cosy 1 bedroom flat, Geneva 5 min to gare Cornavin",368774115,Ryad,,Commune de Genève,46.21856,6.14746,Entire home/apt,159,3,1,2021-10-23,0.46,1,67,1,
51503263,Chambre à louer,17237627,Fatima,,Commune de Genève,46.19211,6.15101,Private room,57,3,1,2021-10-18,0.43,1,362,1,
51519742,Appartement cosy/belle résidence/au pied du tram,113569409,Lucas,,Thônex,46.19309,6.21538,Entire home/apt,68,1,5,2021-12-21,5,1,28,5,
51522629,Superbe appartement 3P avec parking gratuit sur place,417309931,Cynthia,,Lancy,46.17407,6.11898,Entire home/apt,62,3,1,2021-08-17,0.23,1,0,1,
51539188,Studio d'artiste au Centre Ville,33632886,Emmanuel,,Commune de Genève,46.20334,6.16028,Entire home/apt,99,2,14,2021-12-20,3.41,1,8,14,
51558900,Entire cosy & premium apartment near the lake,417682338,Jerome,,Commune de Genève,46.20454,6.16098,Entire home/apt,129,2,9,2021-11-16,2.73,1,160,9,
51566947,Charmant studio à Champel proche du centre-ville,13553642,David,,Commune de Genève,46.19005,6.15429,Entire home/apt,70,28,0,,,1,31,0,
51576030,Cozy Room in Geneva - 12 mins from Cornavin,61882384,Fares,,Genthod,46.26372,6.15834,Private room,57,3,1,2021-08-18,0.23,1,361,1,
51576689,cœur de Plainpalais et université,325241362,Azadi,,Commune de Genève,46.19761,6.13649,Entire home/apt,90,3,9,2021-11-28,2.21,1,309,9,
51587770,"Calme, 2 chambres, 3 salles de bains, terrasse",46143912,Philippe,,Bernex,46.16321,6.05754,Entire home/apt,100,3,2,2021-10-07,0.68,26,86,2,
51589023,Maison de charme avec jardin à 2 pas de la Suisse🏔,284001791,Hiba,,Presinge,46.21555,6.27437,Entire home/apt,145,2,12,2021-12-19,3.00,1,140,12,
51593747,"Confortable, 3 chambres, 2 s. de bains, terrasse",46143912,Philippe,,Thônex,46.19276,6.20079,Entire home/apt,130,3,0,,,26,165,0,
51612948,1 bedroom apartment - close to UN,3203158,Lourdes,,Grand-Saconnex,46.22796,6.12548,Private room,75,21,1,2021-09-03,0.26,1,33,1,
51623329,Magnifique Chambre avec douche et balcon privé,153877255,Hillary,,Commune de Genève,46.22401,6.12435,Private room,78,1,32,2021-12-22,7.38,1,40,32,
51633434,Spacieux appartement à Carouge,3737690,Philippe,,Commune de Genève,46.19149,6.13575,Entire home/apt,130,3,0,,,28,365,0,
51638667,Genève près du jet et de la gare,418323715,Ousmane,,Commune de Genève,46.20954,6.1433,Entire home/apt,155,1,2,2021-09-12,0.54,2,365,2,
51646456,Bernex : bel appartement en résidence,418387031,Christine,,Bernex,46.17529,6.07066,Entire home/apt,109,2,0,,,1,178,0,
51648961,Magnifique appart neuf plein centre tout équipé,49409159,Rick,,Commune de Genève,46.20365,6.1451,Entire home/apt,213,1,3,2021-12-04,1.38,4,80,3,
51664322,Appartement T5 proche de toute commodité,81678037,Martha Cecilia,,Commune de Genève,46.20978,6.13456,Entire home/apt,133,1,5,2021-11-22,1.39,1,11,5,
51664507,Cozy apartment right next to jet d`eau and beach,4444288,Oliver,,Commune de Genève,46.20562,6.15917,Entire home/apt,125,3,6,2021-11-14,1.42,1,314,6,
51677341,Genève : Appartement traversant à Plainpalais,7266157,Quentin,,Commune de Genève,46.1927,6.14447,Entire home/apt,150,2,2,2021-09-23,0.49,1,0,2,
51696414,Cosy Condo : make yourself at home!,317384808,Karine,,Veyrier,46.16933,6.16671,Entire home/apt,75,2,1,2021-11-14,0.70,2,340,1,
51710779,Fantastic flat near the lake,40117397,Ed,,Commune de Genève,46.21404,6.15012,Entire home/apt,105,2,11,2021-12-05,2.58,2,262,11,
51782639,Bel appartement de 55m2 situé à côté de l'aéroport de Genève,47437243,Nina,,Meyrin,46.22516,6.10496,Entire home/apt,65,1,0,,,1,62,0,
51794022,Studio indépendant dans villa totalement équipé,137058120,Mark,,Veyrier,46.16903,6.15556,Private room,85,2,2,2021-09-22,0.59,2,74,2,
51814789,Appartement au centre ville,29910069,Wendy,,Commune de Genève,46.19104,6.14539,Entire home/apt,98,1,8,2021-12-17,2.12,1,59,8,
51817877,Chambre et salon à 5 min à pied de la gare,32600026,Isabelle,,Commune de Genève,46.20941,6.13909,Private room,84,1,7,2021-11-30,1.74,1,82,7,
51834304,Lovely apartment in Geneva Old Town,419901673,Romeo,,Commune de Genève,46.20292,6.14513,Entire home/apt,87,1,24,2021-12-23,7.83,3,295,24,
51857143,Beautiful & Refurbished - One Bedroom - Lancy,3528377,Marc,,Lancy,46.18951,6.11365,Entire home/apt,129,2,0,,,83,356,0,
51858595,"SOBNB-Cosy appartement calme 50m frontiere,parking",257492686,Francois,,Thônex,46.19256,6.20679,Entire home/apt,67,2,1,2021-09-12,0.28,1,210,1,
51864201,⭐⭐⭐⭐⭐ United Nations Private bright room & Balcony,163686220,Alex,,Commune de Genève,46.21546,6.13499,Private room,64,1,5,2021-12-05,1.28,3,365,5,
51877374,Chambres d'Hôtes pas comme les autres,104268375,Cohen,,Soral,46.14285,6.04207,Private room,150,1,0,,,1,365,0,
51884596,mon magnifique studio de 2.5 pièce se situe à proximité de la ville.avec un grand balcon il donne vu sur des terrains de tennis et en face il y a un arrêt de bus pour se rendre en ville en 15 min. il y a beaucoup de végétation rivière et une ferme...,149922284,Christophe,,Lancy,46.17443,6.11354,Private room,70,1,2,2021-10-31,0.63,1,359,2,
51887960,Flat next to the city center,389347891,Raúl,,Commune de Genève,46.20069,6.12904,Entire home/apt,135,1,4,2021-11-21,1.38,2,365,4,
51930123,"Superbe appartement, à 2 pas du centre ville.",92963983,Rosina,,Onex,46.19043,6.10249,Entire home/apt,87,1,5,2021-12-22,5,1,357,5,
51932730,"Great apartment 
City center",233345566,Luca,,Commune de Genève,46.19361,6.13989,Entire home/apt,135,5,1,2021-09-13,0.29,1,365,1,
51937275,Comfortable room with private bathroom,419351264,Julie,,Chêne-Bourg,46.2047,6.20156,Private room,80,1,1,2021-12-15,1,1,59,1,
51937850,Magnifique grand studio,114720346,Charlotte,,Commune de Genève,46.20377,6.15669,Entire home/apt,60,3,2,2021-10-27,0.92,1,185,2,
51954653,Flat 38m2 plus big balcony near UN,21520016,Malika,,Commune de Genève,46.2201,6.13922,Entire home/apt,85,3,4,2021-12-19,2.07,1,55,4,
52001282,"Centre Genève, gare cornavin UN  5min lac",73176740,Carlos,,Commune de Genève,46.20954,6.14495,Private room,68,1,1,2021-10-12,0.39,1,177,1,
52002071,Spartan Apartment in the Heart of Plainpalais!,28587931,Lupo,,Commune de Genève,46.19797,6.14486,Entire home/apt,124,5,6,2021-12-12,2.12,1,28,6,
52003188,Superbe appartement neuf à Genève (Augustin),360619021,Lucille,,Commune de Genève,46.19227,6.14686,Entire home/apt,95,2,12,2021-12-19,3.40,1,40,12,
52062767,⭐⭐⭐United Nations Private bright room with Balcony,163686220,Alex,,Commune de Genève,46.21295,6.13688,Private room,64,1,7,2021-12-08,1.98,3,365,7,
52089426,Lovely 60m2 apartment. Center Geneva. 15 min lake.,37445126,Estef,,Commune de Genève,46.21277,6.1298,Entire home/apt,70,10,0,,,1,337,0,
